Segmentation,Metric,ANOVA p-value,Partial Eta Squared,Linear GLM R2,Quadratic GLM R2,Linear CV Mean,Linear CV SD,Quadratic CV Mean,Quadratic CV SD
5 segments,Staging,7.169645536634028e-28,0.05804804998861385,0.05804804998861357,0.09796343579536437,0.05112419824836889,0.0,0.09130712618299977,0.0
5 segments,Plot Progression,2.348912510158024e-49,0.10319203280549634,0.10319203280549705,0.1396905182985706,0.09703070955766437,0.0,0.13316803410770187,2.7755575615628914e-17
5 segments,Cognitive Tension,4.1199643745535595e-20,0.041253222637999576,0.0412532226379998,0.09662682944532242,0.0332515651565987,0.0,0.08811064854800874,0.0
10 segments,Staging,1.3026333433564215e-33,0.03577439915578604,0.03577439915578451,0.06154661661782834,0.03359115861992988,0.0,0.05935392359863956,0.0
10 segments,Plot Progression,4.358004565453512e-61,0.06559889931182307,0.0655988993118235,0.09192873892509856,0.06216698392134016,6.938893903907228e-18,0.0885137293455009,1.3877787807814457e-17
10 segments,Cognitive Tension,8.024445634679495e-26,0.027171387156674214,0.027171387156673776,0.07039158857382477,0.023026323201058463,0.0,0.06588777957147958,1.3877787807814457e-17
500 words,Staging,,,0.0034232455187817035,0.006402698737603574,0.0032216677889161604,0.0,0.006180512859956355,0.0
500 words,Plot Progression,,,0.007123281010160243,0.010580196857911783,0.006945505208122316,0.0,0.010372936064986769,1.734723475976807e-18
500 words,Cognitive Tension,,,0.0027536004666494085,0.00708114681169858,0.002630482875610729,0.0,0.0069383384215398695,0.0
1000 words,Staging,,,0.00549716262644806,0.010329201998216186,0.005195968488870384,0.0,0.010006186594334356,1.734723475976807e-18
1000 words,Plot Progression,,,0.011017476685826089,0.01639589782652795,0.010826795535987078,0.0,0.016141576470027452,0.0
1000 words,Cognitive Tension,,,0.004709066440568677,0.012121778947406292,0.004378982907696782,0.0,0.011741025058161856,1.734723475976807e-18
